down,Control,1563832717377.2,div/div#EditorContainer/div#downshift-div/div#outer-doc/div#inner-frame/div#frame/div#GraphMapContainer/div#GraphScrollContainer/div#panels/div#viewPort/div#
down,Control,1563832717377.4,div/div#EditorContainer/div#downshift-div/div#outer-doc/div#inner-frame/div#frame/div#GraphMapContainer/div#GraphScrollContainer/div#panels/div#viewPort/
down,r,1563832717521.4,same
down,r,1563832717521.8,same
up,r,1563832717619.4,same
up,Control,1563832717707.4,same
down, ,1563834492920.1,div/div#EditorContainer/div#downshift-div/div#outer-doc/div#inner-frame/div#frame/div#GraphMapContainer/div#GraphScrollContainer/div#panels/div#viewPort/
up, ,1563834493108.3,same
down,a,1563834493304.1,same
up,a,1563834493580,same
down,s,1563834493775,same
up,s,1563834494054.8,same
down,Control,1563835285869.5,div/div#EditorContainer/div#downshift-div/div#outer-doc/div#inner-frame/div#frame/div#GraphMapContainer/div#GraphScrollContainer/div/div/
down,r,1563835286255.7,same
down,Control,1563846597375.3,div/div#textEditorScroll/div/div#textEditor/div#inner-frame/div#frame/div#graphMap/div#graphScroll/div#panels/div#viewPort/
down,Control,1563846597375.5,div/div#textEditorScroll/div/div#textEditor/div#inner-frame/div#frame/div#graphMap/div#graphScroll/div#panels/div#viewPort/
down,r,1563846597808.8,same
down,r,1563846597809.1,same
up,r,1563846598132.4,same
