down,Shift,1563901347836.7,div#graphScroll/div#panels/div#viewPort/
down,Shift,1563901348319.5,div#graphScroll/div#panels/div#viewPort/
down,Shift,1563901348319.8,same
down,Shift,1563901348345.9,same
down,Shift,1563901348377.9,same
down,Shift,1563901348411.1,same
down,Shift,1563901348443.4,same
down,Shift,1563901348477.5,same
down,Shift,1563901348510,same
down,Shift,1563901348543.3,same
down,Shift,1563901348577.1,same
down,Shift,1563901348610.4,same
down,Shift,1563901348643,same
down,Shift,1563901348675.1,same
down,Shift,1563901348709,same
down,Shift,1563901348740.9,same
down,Shift,1563901348775.5,same
down,Shift,1563901348809.9,same
down,Shift,1563901348841.2,same
down,Shift,1563901348874,same
down,Shift,1563901348905.9,same
down,Shift,1563901348941.6,same
down,Shift,1563901348974,same
down,Shift,1563901349005,same
down,Shift,1563901349037.7,same
down,Shift,1563901349071.1,same
down,Shift,1563901349104,same
down,Shift,1563901349138.8,same
down,Shift,1563901349171.4,same
down,Shift,1563901349205,same
down,Shift,1563901349237.9,same
down,Shift,1563901349269.2,same
down,Shift,1563901349301.7,same
down,Shift,1563901349335.2,same
down,Shift,1563901349368.1,same
down,Shift,1563901349403.1,same
down,Shift,1563901349436.2,same
down,Shift,1563901349468.5,same
down,Shift,1563901349501.3,same
down,Shift,1563901349535.5,same
down,Shift,1563901349568.3,same
down,Shift,1563901349600.7,same
down,Shift,1563901349633.8,same
down,Shift,1563901349666.5,same
down,Shift,1563901349701.2,same
down,Shift,1563901349732.3,same
down,Shift,1563901349765.5,same
down,Shift,1563901349802.1,same
down,Shift,1563901349831.7,same
down,Shift,1563901349865,same
down,Shift,1563901349898.4,same
down,Shift,1563901349932.4,same
down,Shift,1563901349964.3,same
down,Shift,1563901349996.6,same
down,Shift,1563901350031.9,same
down,Shift,1563901350064.9,same
down,Shift,1563901350094.5,same
down,Shift,1563901350127,same
down,Shift,1563901350159.9,same
down,Shift,1563901350192.8,same
down,Shift,1563901350225.6,same
down,Shift,1563901350264.9,same
down,Shift,1563901350293.6,same
down,Shift,1563901350327,same
down,Shift,1563901350358.9,same
down,Shift,1563901350392.3,same
down,Shift,1563901350425.4,same
down,Shift,1563901350458.2,same
down,Shift,1563901350491.2,same
down,Shift,1563901350524.7,same
down,Shift,1563901350557.6,same
down,Shift,1563901350590,same
down,Shift,1563901350622.4,same
down,Shift,1563901350654.9,same
down,Shift,1563901350688.5,same
down,Shift,1563901350721.6,same
down,Shift,1563901350753.5,same
down,Shift,1563901350787.1,same
down,Shift,1563901350819.5,same
down,Shift,1563901350852.8,same
down,Shift,1563901350885.6,same
down,Shift,1563901350918.6,same
down,Shift,1563901350951.4,same
down,Shift,1563901350984.4,same
down,Shift,1563901351018,same
down,Shift,1563901351050.4,same
down,Shift,1563901351083.6,same
down,Shift,1563901351116.7,same
down,Shift,1563901351149.8,same
down,Shift,1563901351182.5,same
down,Shift,1563901351215.6,same
down,Shift,1563901351251,same
down,Shift,1563901351285.8,same
down,Shift,1563901351321.9,same
down,Shift,1563901351348.4,same
down,Shift,1563901351381.6,same
down,Shift,1563901351415.3,same
down,Shift,1563901351448.6,same
